brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price
Others,Android,10.29,no,no,3.15,0.3,16.0,4.0,2100.0,150.0,2014,876,80.77
Alcatel,Android,17.78,no,no,0.3,0.3,4.0,1.0,1800.0,390.0,2013,1041,99.9
Xiaomi,Android,12.83,yes,no,16.0,5.0,16.0,4.0,4050.0,164.0,2016,884,160.37
Huawei,Android,12.83,yes,no,12.5,8.0,256.0,4.0,4000.0,169.0,2016,848,921.52
LG,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,218.0,2020,234,870.01
Infinix,Android,15.29,yes,no,,16.0,32.0,2.0,4000.0,165.0,2019,497,129.81
Others,Android,12.78,no,no,8.0,1.2,16.0,4.0,2100.0,140.0,2013,744,178.73
Xiaomi,Android,12.7,yes,no,13.0,5.0,16.0,4.0,3120.0,131.5,2016,939,109.13
Others,Android,10.29,no,no,8.0,2.0,16.0,4.0,3000.0,147.7,2013,783,269.49
Samsung,Android,12.73,yes,no,16.0,2.0,16.0,4.0,2800.0,158.0,2014,1002,299.27
Huawei,Android,12.83,no,no,5.0,0.3,16.0,4.0,2300.0,180.0,2014,553,270.99
Xiaomi,Android,16.94,yes,no,,16.0,64.0,4.0,5020.0,209.0,2020,96,157.47
Acer,Android,17.78,no,no,5.0,0.3,32.0,4.0,3700.0,159.5,2014,724,89.8
Gionee,Android,12.83,yes,no,8.0,5.0,16.0,4.0,5000.0,200.0,2015,713,338.23
Micromax,Android,10.34,no,no,8.0,2.0,32.0,4.0,2000.0,134.0,2015,901,68.7
Honor,Android,12.83,yes,no,13.0,8.0,64.0,4.0,3300.0,162.0,2016,595,179.05
Xiaomi,Android,16.94,yes,yes,,20.0,256.0,8.0,4500.0,208.0,2020,112,713.99
Others,Android,12.7,no,no,13.1,2.0,16.0,4.0,2000.0,106.0,2013,707,189.96
Nokia,Others,5.28,yes,no,2.0,0.0,0.1,0.03,1500.0,118.0,2019,295,59.46
Realme,Android,15.37,yes,no,,16.0,64.0,4.0,4300.0,191.0,2020,97,200.32
LG,Android,12.78,yes,no,12.3,8.0,32.0,4.0,2800.0,156.0,2016,981,348.94
Vivo,Android,15.9,yes,no,13.0,16.0,128.0,4.0,3260.0,149.3,2018,591,249.47
Asus,Android,12.83,yes,no,13.0,5.0,64.0,4.0,3000.0,170.0,2015,715,349.91
Realme,Android,15.37,yes,no,,13.0,64.0,4.0,5000.0,198.0,2019,299,143.65
Samsung,Android,12.73,yes,no,16.0,5.0,16.0,4.0,2800.0,145.0,2015,1084,350.53
Lenovo,Android,16.23,yes,no,13.0,8.0,512.0,4.0,3350.0,210.0,2018,660,400.44
Samsung,Android,12.83,yes,no,13.0,16.0,32.0,4.0,3000.0,180.0,2017,668,278.73
Samsung,Android,20.32,yes,no,5.0,1.3,16.0,4.0,4450.0,314.0,2013,971,269.61
Motorola,Android,15.34,yes,no,,16.0,64.0,4.0,5000.0,199.0,2020,97,212.49
